hgnc_symbol,stage_I,stage_II,stage_III,stage_IV
HELLS,29.2,362,53.695,842
TCTN3,35.71,119,0.47,27.08
DENND10,11.05,22,9.517,107.5
AVPI1,23.85,0.035,0.13,0.013
WDR11,671,453,4.69,0.445
ARMH3,114.5,113,2.85,45
GOT1,78.75,0.47,0.175,0.22
GNA13,305.37,420,1022,492
KANSL1,670.5,503,738.5,390
HOXB3,80.5,41,93,277
DUSP1,967,1312,346,2471
PANK3,594.5,187,247.516,258.5
RCL1,55.5,606,75.5,158.5
CAAP1,88.016,62,0.016,80.4
CD274,524,60,12.5,9.0395
NUP43,133.007,0.21,199,0.0395
MTHFD1L,0.0535,0.018,0.017,0.225
PCMT1,1156.5,1637,518.45,2057.5
PLEKHG1,19.145,277,0.07,0.395
CXorf21,186.5,4.6,0.082,198.513
CYSTM1,131.05,296,135.5325,624.075
WDR55,90.97,230,40.5,1066.5
MRPS14,684,901,321.5345,495.5
CENPL,5.145,67,0.175,0.195
GORAB,348.007,203,0.54,0.0515
ACAT2,228,58,140.07,434
TCP1,687.5,2030,473.5,437.5
MSANTD2,28.115,1.7,0.016,1.125
PDZD11,51.385,246,0.25,157.5
SLC10A7,9.95,22,0.12,13.575
NUDCD1,324.65,121,0.08,0.105
ENY2,971,1316,518,1103.5
MASTL,2.45,178,353.517,240.5
KIAA1217,71.5,4.6,41,43.525
EPC1,1540.5,1184,129,1255
TAF12,105.2,0.74,15.0485,332.1
MTRF1,174.5,112,0.016,3.725
DNAJC15,264.25,342,570,682.5
PROSER1,105.7,175,165,115
UFM1,421.5,1403,15.15,283.05
WBP4,221.5,73,27.4,8.65
ELF1,5021,5869,4129,4227.5
HSPH1,606,658,2551,1502.5
ALG5,521,596,122.935,631.5
EXOSC8,650.5,771,875.45,898.5
ETF1,615,2743,218,929
TGFBI,1.36,0.053,0.3095,4.8
FAM53C,676,3.9,25.5325,0.2
SIL1,49,0.19,0.0325,10
PAIP2,5926.5,8039,6071.5,5732
KDM3B,672,165,0.1335,45.65
EGR1,465,296,132.5,1418
SERP1,1446,1930,718,621
NR2C1,530.5,267,48,47.7
UTP20,63.4,6.4,0.08,10.5
TMPO,303,49,419.5325,1115
ARL1,154,0.32,169.92,281.2
MTERF2,1.995,2.1,289.5,0.18
SOCS2,0.19,0.14,0.1025,169.5
NFYB,11.63,0.12,0.016,92.5
WASHC3,953.5,372,48.4,268
APAF1,0.416,11,3.9,4.7
DUSP4,2999,3251,2334,2018.5
CLU,42.5,0.14,8.585,39.65
TNFRSF10B,94.76,171,0.277,6.15
PTK2B,268.5,593,206,156
PPP3CC,27.565,246,0.447,36.15
PDLIM2,0.285,0.14,22.565,0.0265
RNF170,35.825,0.14,0.017,20.5
UBIAD1,297,0.42,0.016,116.5
TARDBP,696.5,866,607.42,1735
ZNF706,1164,726,1278,841.5
LYPLA1,443.5,729,497,869
COPS5,182,1377,301.5,161.5
RDH10,1319.5,114,825.5,261.5
AKAP1,171.5,231,372.55,32.1
COIL,591.5,370,292.24,534.5
TRIM25,8.2,5.9,222.6,539.1
SCPEP1,0.535,542,0.775,4.505
SPOP,571,31,6.57,249.5
SLC35B1,220.5,241,210.16,335.5
NACA3P,1.47,2.3,2.3,2.1
FAM117A,17,0.85,159.67,135.5
NCAPH,54.71,308,7.517,3.9
TMEM131L,328,1636,19.516,244.1
TENT4B,2544,699,59.05,257.5
CEP89,26.516,0.46,6.95,0.23
ECHDC2,268,304,0.0655,96.575
PYROXD1,213.5,309,156.5,340.5
PSPC1,339,601,378.155,485
ZNF549,0.021,0.018,0.065,0.0395
A1BG,59.85,0.49,0.05,517.5
ZNF211,164.5,21,159,288.5
RNF2,499,33,158.5,246
TRMT1L,225.5,0.018,180.5,0.12
SEC22A,49.4,0.018,0.085,25.525
B4GALT4,0.485,7.6,0.016,0.0395
NAA50,1868.5,2087,2071.5,1481.5
CD80,6.63,343,37.75,52
KIF18A,2.09,0.18,0.0325,0.013
DESI2,86.5,44,360,62
CRY2,59.016,0.11,17,78.5
PEX16,49.145,202,0.115,220
CAT,378,776,312,300.8
PILRB,34.225,163,96.2,118
ZMYM2,374.5,1098,34.79,551.5
TBC1D15,1336.5,1838,2130.5,740
ZCCHC17,154.13,429,35.63,213.5
KHDRBS1,589,520,883.5,1487.5
TMEM39B,22.115,0.018,96.0325,0.8265
CCRL2,37.225,115,8.57,0.44
POLR3GL,317,388,55.7,608.5
TNFSF10,314.35,107,13.07,161.2
ZNF639,42.355,124,0.083,27.55
PIK3CA,74,163,803.5,192
PDS5A,125.6,1237,1198,200
TMEM156,411.5,775,292,429
LIAS,0.98,96,3.465,0.013
LRIF1,411,1.9,80.516,8.5
CLCC1,0.19,1.2,0.016,7.45
GPSM2,0.065,0.58,0.18,0.013
GTDC1,317.5,220,306,72.5
CXCR4,2050,8879,1196.5,2918.5
POLK,80.4,23,134,253.075
RPL21,6739.5,10144,3843,6831
MTIF3,133.5,215,95.63,3.3
GTF3A,1242.5,2057,1006,2267.5
UBL3,45.5,1151,12.7,279.5
FYTTD1,1105.5,1030,760.5,837.5
MTERF4,204.5,631,22.65,252.5
SASH3,111.0485,456,6.175,899
MRPS2,118.115,2.1,0.017,47.15
LAX1,356.5,34,0.1535,1348.16
KIAA1191,638.5,294,292.775,219.6
COPA,935.5,1041,809.705,727
CD244,54.645,0.18,0.016,0.65
LY9,118.05,195,0.365,21.875
RBBP6,1172,623,238.6,8.05
ZC3H7A,976.5,2519,2549,2018.5
SERAC1,53.485,0.053,128,44.5
ANXA11,988,1293,333.74,423
SHLD2,27.355,247,367.05,99.9
NAA60,56.5,1.1,53.5345,0.105
RPL5,5906.5,6264,3567.5,5830.5
ODF2L,1086,600,731.5,1167
RWDD3,934.405,395,161.225,93.9
ZNF644,989,481,513.9,1248
CCDC18,30.016,2.6,112.95,203.032
RPAP2,55.095,163,572.145,116.5
SLC66A2,28.115,0.053,53.017,31
PMS2,2.6485,0.035,0.3745,33.085
ZMIZ2,0.095,399,0.017,5.565
SEPTIN7,3782.5,6139,1655,4574
EEPD1,58.09,599,0.016,330
KLHL7,174.63,0.16,0.0495,244
HERPUD2,2359.5,527,432.5,2202.5
CBX3,1082.5,534,1354,1687
HNRNPA2B1,4089.5,4783,3394.5,4492
FAM126A,588,136,470.95,349.0265
INHBA,0.21,0.035,127.25,170.08
NT5C3A,425,1868,908,525
ARL4A,356.1,378,660.12,350.5
CCZ1,684.5,112,65.046,210.5
MRM2,39.6,19,0.85,48
SMU1,1391.5,1506,835,3415.5
GLIPR2,320.5,646,157.5345,287.5
CLTA,809,491,534.5,265
RECK,84.016,3.9,443.5,38.6
ACO1,2.075,257,0.16,4.3
DCAF10,67.8,51,0.18,160
TRIM24,10.565,0.28,160.016,0.13
CALD1,1.65,0.018,0.017,0.25
PLAU,0.384,0.4,0.65,0.013
SRGN,17053,29329,9861.5,17129.5
CISD1,51.75,364,0.6,199.725
EGR2,0.16,0.95,111,15.5
ECD,18.385,33,59.065,72
P4HA1,563.5,0.46,134.71,242
SLC25A16,126.35,0.39,0.016,18.825
ZWINT,9.095,385,135.095,0.535
VPS26A,550,340,946,329
RBM19,176,168,235,122.5
CIT,0.016,0.035,0.067,0.013
HVCN1,47.0325,0.28,0.016,0.9
NME2P1,0.45,0.018,0.095,0.35
DDX54,0.14,5.2,107.065,0.415
MED13L,230.825,139,0.13,31
CDKN2C,39.5485,34,102,0.09
RNF11,204,173,484,1002.5
BHLHE41,0.176,0.42,0.162,0.525
SSPN,0.0485,0.14,0.0325,0.0395
ITPR2,589.5,28,113.12,34.05
CCDC91,39.985,94,44.1,419
NECAB1,0.0675,83,0.017,0.18
WWP1,54.5,408,137.07,1451.5
ACOT9,579,630,1030,274.5
PRDX4,128.55,185,158.25,476
DDX39A,1009,1737,508.845,595
PKN1,125,37,167,219.6
TRIR,157,130,323,344.5
ADGRE5,318,1190,735.5,915.5
WDR83,1.45,1.1,0.475,3.05
EBPL,23.195,0.37,52.0345,0.055
ZC3H13,923.5,688,660.5,1125.95
CENPK,148.5,594,32.5325,0.23
OPTN,1014,1332,759.5,1282.5
ATF1,492,35,318,218
TSFM,109.95,81,333,183.35
ARHGAP9,1322.5,1036,335,1340.5
NCKAP1L,235,944,158,206.9
PFDN5,2265,4083,1404.5,2723.5
SPATS2,34.4,1.7,0.455,156.15
ORMDL2,430.5,914,626.155,609
NR4A1,12.016,49,0.0945,1.025
PDE1B,0.1525,29,0.017,41
CDK2,230.5,292,270.2,217.5
ATG101,89.66,159,26.5365,0.27
IKZF4,439.5,184,474.5,403
SMUG1,232.75,0.39,0.345,132.5
TUBA1B,1069.5,946,243,521.5
ATPAF1,14.08,188,0.95,0.4145
STIL,0.065,41,0.0485,0.0265
HJURP,30,0.088,0.322,0.013
AMD1,464,1301,306.825,812.5
NDUFAF4,119.5,596,230.595,38.55
USP45,107.1,0.088,24,0.0265
MORF4L2,1185.5,86,39,442
FAM199X,65.065,328,3.1,83
RAB9A,522.5,587,708.5,4.075
METTL8,1191.5,429,93.095,988.5
TTC21B,5.5485,42,24.5,36
NMI,1106,688,691,653.5
TNFAIP6,21,0.7,0.675,0.065
BAZ2B,240,11,0.13,170.5
LPGAT1,129.35,299,70.017,109.725
BATF3,16.805,0.035,50.0485,63.105
G0S2,36.6,302,89,109.5
KCNJ2,0.15,0.088,0.355,0.088
RAP2C,412,450,1057,2480.5
EXOSC9,362.5,1177,626,1357.5
PLA2G12A,48.87,167,0.0495,0.225
B9D2,86.34,8,26,120.5
PFKFB2,7.516,0.42,0.0485,0.025
AGO2,2361,2589,1986.5,4203
MXD4,141,176,151.5,17.645
CKS2,1061,431,113.5,249
ACSL3,76.75,432,451.205,26.7
DNPEP,53.71,26,303.5,400
HMGB1P1,0.335,0.38,0.19,0.285
SLPI,0.657,0.19,0.017,0.025
TTPAL,277.565,209,30.105,70.5
PREX1,379.75,744,33.35,322
SDC4,1112.5,15,887,980
NCOA3,1283,476,474,1721
PIGT,317.85,320,927,282.625
NCOA5,40.7,46,15,159.025
VAPB,506.5,42,141.0325,0.355
PARD6B,214,120,9.5325,1166
ATP5F1E,4367,8058,2670,4370
CHD6,580,431,4.055,1610
TOX2,233,402,35.5,187.9
SRSF6,6508.5,3446,4138,8372.5
ARFGEF2,54.95,669,0.13,151.025
ZNFX1,266.5,836,34.516,551.45
ZNF831,157.5,1013,741,7.1
CSE1L,173,984,610.517,149
TMEM189-UBE2V1,0.55,10,0.2135,0.25
RAB22A,180.615,106,462.31,552
STAU1,647.5,734,156.5,177.5
STX16,700,672,299.5,448
PPP4R1L,19.016,0.053,25,0.0395
PMEPA1,204,239,146,320.5
RNF114,399.2,1323,447.5,3366.5
DDX27,469,1297,272.45,2436
BCAS4,54,92,20,105.5
ZBP1,0.0345,0.035,0.12,0.0515
MTRR,18.5485,210,0.71,278.525
FASTKD3,122.55,69,0.016,225.5
PEPD,300.5,287,350.55,644
VAMP7,42.016,223,0.024,479.5
STAMBP,107.5,77,182.5,2186
NAGK,398.5,0.53,71.355,541
MCEE,3.76,0.11,0.016,0.1265
SNRNP27,578,685,131.095,455.5
MPHOSPH10,441.5,965,275.5485,116
NDUFB4P12,2.95,3.7,1.285,1.03
ATP8A1,33.95,15,0.625,2.15
USP22,911,201,419,221.5
LYPD3,86,198,0.016,0.0265
USP9X,404,795,486,746
TRERF1,14.08,0.07,0.082,0.0645
BTN2A2,2.505,294,0.415,128.0265
MRS2,25.195,391,60.645,161
WRNIP1,38.42,15,203,344.25
RRP36,63.565,0.33,1.1325,538.5
SNRPC,800.5,382,1227,625
SERPINB6,0.5345,0.053,0.335,0.47
XPO5,3.3,0.035,7.516,4.4
ABCC10,5.5,1.3,289.5345,44.66
H1-3,273,204,0.0485,8.8
NQO2,47.35,144,0.095,123.05
,20.75,3.9,10.0395,10.4
OARD1,104,528,523.64,735.5
RPS10,4506.5,3567,2294,2535
H2BC11,0.014,0.018,0.0485,0.013
MED20,1.6485,0.018,0.016,0.065
TBCC,164.21,1153,619.517,411.5
MEA1,740.5,1200,192.115,619
CDKN1A,142.5,481,9.1,145.4
SOX4,1193,1698,1196,586.5
GLO1,199.55,301,11.3,212
CPNE5,1.75,1.6,0.08,5.05
RREB1,347.5,50,764,429.85
SSR1,949.5,519,791.5,1803.5
RIOK1,396.5,1245,570.5,535
SLC35B3,0.14,0.96,13.016,0.18
ATXN1,2203.5,1462,1240.5,2090
NUP153,361.5,492,0.515,479
DEK,1792.5,2281,1914.5,2247
EEF1E1,127,4.4,813,182
RUNX2,290.8,772,60.5,298.5
LRRFIP1,1334,3843,2505,3840
EREG,0.21,0.088,3.8,91.425
AHNAK,164.3,1115,411,1322
EMC3,1330,206,753.36,937
SH3TC1,0.26,0.12,439.5,76
CNOT1,334,586,1318,1044.5
BBS2,30.016,0.018,0.033,133.525
MT1G,1.17,0.49,0.05,0.05
MT2A,1827.5,1978,51.42,383.5
GOT2,164,0.25,57.5,480.5
GPR18,117.08,113,2.61,0.435
CLYBL,57.58,0.16,0.017,714.55
RAP2A,39.35,80,13.1,172.6
ABCC4,7.5325,0.07,0.41,0.063
TM9SF2,1300.5,803,101.5,777
IRF1,1005.5,482,644,107.5
UPF3B,743,187,177.5,135.5
RNF113A,604.5,540,9.565,78.475
SEPTIN6,1055,989,1010,756.5
NDUFA1,993.5,4081,1541.5,2897
DMAC2L,109,158,0.29,183.61
PTGER2,0.254,0.26,0.0345,2.4
FAM193A,260,287,284.5,28.95
HS3ST3B1,214.855,295,950.76,189
SLC25A35,0.866,56,1.85,2.6
MRPS7,462,1002,0.705,552
GGA3,58,137,0.017,189.5
ARMC7,82.5485,0.053,0.08,1.05
NUP85,92.7,18,0.086,9.12
SLC25A19,213.5,0.33,329.55,23.025
MIF4GD,237.66,330,365.0485,0.13
NT5C,73.275,242,0.36,184
MSTO1,11.78,32,66.5,152
TTF1,717.5,139,160.97,41.5
GTF3C4,57.825,3.1,0.0325,0.055
PPP1R12C,7.325,71,0.086,0.065
MBOAT7,197,36,73.0345,0.013
PPDPF,0.4285,2.2,0.717,0.605
IL1B,13.65,1.6,62.75,164
PLGLB2,4.9,0.51,172,56.5
CHCHD5,69.95,486,95,139
INSIG2,72.5,380,498.9,5.8
POLR1B,0.695,165,0.065,448.58
CCDC93,300.5,840,465.5,112.65
PSD4,108,70,985,144.5
GTF2F1,270.5,807,199.15,19
ALKBH7,83.6,163,0.115,31.55
CLPP,263,154,37.0325,381.5
TNFSF9,0.49,2.8,0.016,16.5
THOC2,916,611,1173,851.5
MED1,112.0325,8.4,41.595,186.5
RPL23,4204,4776,1437,5992
ATG4C,0.196,0.035,0.1375,0.0645
CD70,1.95,508,0.135,75
C3,2.895,0.11,0.101,0.0515
SH2D3A,2.716,0.14,0.0505,26.105
TRIP10,6,102,0.33,0.065
GPR108,99.675,250,0.112,108.025
TNFSF14,40.0325,49,18,2.165
FOSB,194.485,244,137,104.265
OPA3,63.5,11,4.19,305.5
SNRPD2,2376,2570,1090.5,1173
VASP,47.725,17,144.695,241.6
GPCPD1,319,1107,442.5,499
PANK2,153.935,152,6.84,0.445
GZF1,0.246,646,0.101,64.7
CENPB,2.73,0.11,0.105,7.5
PSMF1,981,66,89.517,456.5
DTD1,71.21,261,132,0.8
RBCK1,103.45,530,1.666,602.3
TMX4,222,2092,153.016,605
STK35,16.5,3.2,90.065,0.213
SNRPB,333.5,612,336.5,894
AP5S1,30.615,137,0.566,0.495
RRBP1,180.5,0.19,197.705,486.5
MKKS,541.5,478,229.105,657.5
DSTN,32.75,1474,1186,352.5
SNRPB2,788.5,1114,1173.5,1161
MGME1,89.595,1.5,416.516,131.5
TBC1D20,33.825,0.81,0.085,1.4
ITPA,82.45,1286,459.5,103
MCM8,0.9,0.16,1.85,0.088
MRPS26,78.805,62,10.0325,193.05
S1PR4,2.67,6,0.08,0.055
NCLN,16.805,0.053,0.24,30.5
HNRNPR,910.5,1393,497.5,706.5
MAX,184,204,441.5,630
CHURC1-FNTB,7.5,64,23.5,7.2
ID1,3.275,0.18,0.033,81.55
RALY,475.5,266,147.13,665
DYNLRB1,734,700,583,1309.5
EIF2S2,400,2258,482.5,1416.5
ERGIC3,115.325,491,36.16,564.5
ROMO1,1906.5,2182,2024.5,851.5
CEP250,81.935,73,0.5,118
PLAGL2,126.016,83,253,4.65
MMP24OS,78,0.035,0.065,197.025
KDM5C,42.516,0.11,27.14,0.0395
PSMB2,516.7,2303,425.5,1269.5
AGO3,152,7.2,0.225,192.5
UROD,245.95,156,0.2025,79.5
TMEM53,13.29,0.018,204.5,97.5
KLC1,165.81,201,0.235,336.5
TUBGCP3,7.5,1.4,1.24,227.65
PCID2,94.5325,212,0.355,779.5
IGFLR1,635,1610,72.516,727
CAPNS1,477.5,669,115.5,248.2
RBM42,55.29,59,338.017,0.775
UBA2,560,1154,2.105,177
HCST,1551.5,839,205.5,443
COX6B1,929,2082,761,1327
CCR7,2657.5,3837,430,2087.5
NR1D1,28.016,167,0.016,0.13
FRMD8,146.4,83,0.26,251.525
PRDX5,701,1392,9.37,1428.5
BCL2L12,41.0485,0.11,0.9325,19.6
IRF3,10.71,9.9,0.08,208.5
PRMT1,277,460,329.85,731.5
SCAF1,0.055,36,2.25,11.5
SBDS,665,1174,1.295,1441
STAT5A,593,509,893.5,340
BECN1,978,524,337,689
TRAP1,60.5,2.3,0.19,101.025
NSRP1,137.8,908,264.5,739.5
DNAJC8,1707.5,1580,1512.5,1690.5
AHDC1,0.11,0.018,2.24,0.0645
IFI6,1864,1715,2925.5,3545.5
ZNF384,6.05,13,3.205,1.1455
EMG1,694,549,60.5345,201.025
UXT,311,186,47.5,204.5
ELK1,0.34,5.4,0.016,109.1
TIMM17B,36.4,86,179.85,36.35
PCNX4,251,1391,966.5,713
ATG14,66.0485,116,0.0325,36.5
KTN1,2240,1343,1269,1453
DLGAP5,0.319,0.018,0.59,0.063
L3HYPDH,64,513,0.017,0.09
ZBTB1,1068.5,428,533.3,321
SGPP1,33.0485,101,319.5,248.8
RHOT1,8.95,169,0.083,135
EVI2A,1013.5,3710,1083.35,1512.5
WDR60,33.0485,6.1,170.017,529
FAM78A,112.5,0.018,1.095,43.5
NUP214,2.25,231,0.5,100.5
SLC10A3,50.695,0.088,0.14,0.08
MAP2K2,85.5,22,413,20.5
HNRNPH2,188.5,490,816.5,922
TIMM8A,42.47,0.07,0.256,95.5
CANX,564,226,1450,812
INTS11,5.045,43,10.0325,385
RGS13,15.87,5.5,87,8.075
IPPK,41.5,177,241,0.435
ZNF484,6.5,0.035,592.5,0.13
FGD3,388,128,4,104.5
HIVEP3,63.75,21,271.75,32.5
PPCS,66.55,1447,683,263
BCL11B,5823,2546,1153.5,2949
COX7C,1565,3395,2218,2618
HELB,136.5,417,6,5.4
RAP1B,1894,3958,2858,2806.5
TSPAN8,1.65,0.035,0.066,3.605
RAB3IP,129.5485,327,0.016,0.445
DYRK2,101.516,215,128.5325,221
YEATS4,305.58,420,198,112
FGFRL1,0.31,0.018,0.016,0.055
TMEM175,7,0.11,0.05,30.55
PIN1,257,472,237,989
FBXL12,30.5,48,0.7,20.5
EMC1,340,28,71.516,53.5
UBR4,370,373,505.66,389.5
HP1BP3,1461,826,1238.5,882.5
ADGRE2,0.4265,0.036,0.115,0.038
SIN3B,16.615,0.3,0.07,22.05
SLC35E1,316,1005,2.3325,230.5
EPS15L1,19.5485,0.23,65.825,95.5
KLF2,42.565,0.07,4.95,79.565
OR7C1,1.01,0.55,1.045,0.5255
UQCR11,2278,5898,1435,3259.5
SYNGR3,44.5,100,0.101,0.08
PKMYT1,2.216,0.17,0.0345,0.1015
TUBBP1,0.3,0.27,0.23,0.2
MACF1,2232,1922,2314.5,1851
SMARCA4,102,117,217,137
KDM4B,3.15,19,80.5,0.155
METTL25,25,1,0.0325,20.5
EMC6,706.5,773,186.7,197.55
METTL16,118,229,50,402.5
TUBA4A,567,1659,458,78
VIL1,0.102,58,102.5325,0.09
AAMP,130,24,0.033,326
PNKD,320.5,840,58,345
RNF6,642,59,437,416.75
ECHS1,1467.5,812,23,205.5
AKAP9,2129.5,2992,2015.5,1429.5
SEM1,1245.5,1482,1731.5,1253.5
HIP1,345.25,0.82,0.0325,223.5
PTPN12,0.435,0.75,0.29,0.23
POR,110,22,36.115,110.525
FGL2,8.55,860,3.7,121
STYXL1,764.5,202,215,0.205
PEX1,261.521,0.088,204.5,3.1
MTERF1,16.5325,0.018,0.017,1.55
RBM48,354,396,13.605,947.5
ZNF780B,7.516,363,29,0.063
ZFP36,474,959,823,398
SRD5A3,0.195,0.053,0.1875,0.1
SPINK2,0.014,3.5,0.1175,0.28
PAICS,36.74,260,18.855,15.25
TUBGCP6,104.5,0.44,1.95,5.025
DGCR6L,119.75,51,0.195,127.025
DGCR8,147,184,648.725,62.025
ASPHD2,77.565,3.8,0.5,0.055
VPREB3,39.5,0.75,0.033,0.16
SDF2L1,446.5,536,0.845,13.45
YWHAH,265.5,1120,1142.5,456
ADORA2A,30.95,106,6.016,138.5
ATF4,1378.5,409,1613.5,652.5
APOL3,416.5,65,449.5,0.55
TPST2,48.92,0.44,99.5,0.77
MPST,7.25,0.19,54.5325,57.5
APOL2,1379,295,1164.5,1325.5
RAC2,1458.5,3190,1532.5,1102.5
APOBEC3F,0.3795,0.069,118.5,99.025
EMC4,462,1019,1459,1290
SPECC1,5.115,0.25,0.357,0.36
ATP6V1F,668.5,762,5.695,859.5
LSM8,231,605,325.75,460.9
PRKRIP1,580.5,79,25.1,1.62
STRIP2,14.5,354,73,1.1
IFT22,36.725,0.35,55.516,75.05
MKLN1,206.5,207,57,183
DNAJB9,1510,621,72,396.375
CALU,390.5,125,313,76
KLHDC10,75.87,194,189.5,57
NDUFA5,834.5,1889,977.25,597.2
MRPS12,277,164,0.065,572.65
MTX2,362,0.018,0.13,0.25
CHN1,762.305,1923,408.016,1179.5
EIF2S2P4,3.62,49,2.565,54
ORMDL1,410.25,1441,1291.5,925.5
HAT1,407.5,665,801,415.5
HERC2,400.5,669,0.235,78.025
SNRPN,1383,1905,374,1626.5
PSMG2,324.7,1783,437.085,365
TWSG1,3.745,0.28,238.5,25.575
WDFY4,0.1785,0.053,37.5325,0.08
EIF2AK4,245,11,181.12,0.055
MYO5C,0.016,0.035,81,12.513
TTBK2,5.25,0.61,52,27.5
CCDC32,209.21,31,107.13,116.125
INO80,140,24,18.615,469.5
ICE2,411.5,715,6.065,219.5
MINDY2,394.5,134,30.7,165.5
IVD,44.3,174,123.595,10.025
KNSTRN,18,127,0.85,3.075
DUT,165.55,595,375.12,202
ARPP19,1126.5,1648,2354.5,1505
VPS13C,1573,772,1196,1672
ANAPC13,52.75,1419,269.0485,1123
MBD4,100.5,541,325,1175.5
COPB1,507,1045,1315.5,1696.5
PSMA1,947.5,2728,404.5,1286
SUMF2,1786,478,718.5,3368
PALLD,0.267,0.018,0.085,89.45
SPCS3,1271,2660,661,2936
SERGEF,157,0.19,90.016,88
DCTD,148,0.58,66,327.5
RPAIN,184.44,101,19.69,196
CD68,1.574,0.28,0.835,6.62
TXNDC17,334,114,15.5,29.6
FXR2,30.5,0.053,0.017,0.305
PHF20L1,349,408,24.24,140
CCNT1,956,68,141.275,506.9
PUS7L,148.5,64,563.57,151.2
KRI1,89.065,0.3,0.082,17.08
ILF3,303,1697,459,694.5
SLC44A2,291,390,162.585,89.5
CDKN2D,75.516,278,0.0325,0.0395
NGDN,372.355,271,191.15,643.5
RIPK3,13.5,0.088,160.5325,28.5
RAB2B,86.145,30,80,431
PARP2,18.175,0.12,0.1025,0.9765
HEATR5A,27.47,44,0.2385,75.55
SNX6,1117,624,33.517,570
EAPP,164,1045,778,690.5
EGLN3,0.75,1,0.265,0.1265
MIS18BP1,1837,985,1467,3644.5
RNASE1,53.9,0.035,0.33,0.355
NEDD8,1439,2382,551,2044.5
DAD1,1108.5,1531,699.5,1428.5
EPB41L4A,0.08,0.035,0.0325,0.5265
REEP5,1475,1352,444.5,2206
ITFG1,55.35,503,643.5,144.05
SEC14L1,442.5,1788,799,708
RHBDF2,143,122,28.0485,81.5
ARHGEF6,469.66,305,172.017,597
MAP7D3,138.565,553,13.5,133.75
ASH2L,33.4,0.16,50.5,100.685
TTI2,55,36,30,179
SGO1,19.16,0.3,0.53,84.695
PGAP6,16.615,66,0.016,80.125
ABHD17A,0.616,3.5,5.5,0.49
PUDP,0.136,117,0.017,69.5
PHF10,422.5,224,305.5,42.3
CRACR2A,76.5,114,21.5325,190.325
SAT1,7610,11782,6947,8552.5
GNL3L,11.4,9.2,0.016,0.13
MOSPD2,0.26,0.088,0.08,0.0265
ECSIT,85.5,0.11,60,146.5
LDLR,526,269,357.67,0.31
ELOF1,319.675,2.1,0.0345,341.5
PRKCSH,16,4.3,14.5485,55.5
CDC16,27.37,0.14,52.0485,0.25
APOE,21,0.088,0.25,0.22
TOMM40,13.0485,10,0.112,45.4
APOC1,61.605,0.25,9.29,39
XPO7,0.4845,2.1,0.097,0.0395
FAM98C,0.07,15,0.016,31
SAFB2,1142.5,1530,632,460.5
RPL36,2820,3903,1179,1584.5
GTPBP3,0.014,136,4.4,0.038
BST2,350.5,565,621.5,1028.5
NSUN5,0.72,0.088,0.625,53
COLGALT1,156.05,48,42.25,251.5
DDA1,258,69,29,353.5
MRPL34,764.5,657,207.5,546.5
PGLS,5.095,0.65,0.0325,0.145
LSM7,1603,917,447.5,246.5
TULP4,1339,400,26.275,584
SNX9,735.5,1580,1566.5,2560
QRSL1,36.225,169,34.64,65.675
MTRES1,416.528,441,31.74,8.145
RSPH3,0.014,0.16,0.0325,138.5
MLLT1,0.087,0.018,0.065,0.065
AFDN,32.6,29,55.13,1.925
ACTN4,57.5,28,5.575,98.15
NDUFA10,340.5,422,28.325,415.5
ARPC1B,2126,1684,2211,2625
ZSWIM6,218,133,0.35,131.17
FCHO1,0.161,3.4,0.1945,88
MAP1S,0.07,0.3,0.066,0.0395
SSBP4,150.5,8,0.3075,0.2515
PGPEP1,57.5,60,260,16.05
IQCN,0.12,0.035,0.017,0.75
,247.05,446,1000,199.65
JUND,1017.5,974,597,1069
ZNF557,325.5,34,0.136,296.3
CAMSAP1,0.26,312,1.43,1.755
UBAC1,0.238,0.14,143.64,0.065
ZBTB46,1.695,0.018,8,0.08
LSP1,578.5,420,465.5,1783
ATXN10,61,796,18.5,169.95
TUBGCP2,140.1,324,154.275,365
CEP85,12.225,12,0.016,0.013
LAMA5,0.71,0.98,1.05,24.755
OSBPL2,62.775,631,0.215,161.34
ADRM1,511.5,733,158.225,382
EXOSC2,132.595,3.5,0.33,479
POMT1,64.4,0.14,27.5,283
UCK1,109.79,0.56,0.05,0.038
PRRC2B,158,54,0.225,12.32
CHMP2A,583.6,1014,752,1428
UBE2M,10.3,10,1.8325,47.4
TRIM28,146.5,311,414,318
METTL26,169.355,164,23.0325,144
YIPF2,51.5,0.018,13,10.1
ATG4D,33,17,0.0485,3.913
EIF2S3,4862,2134,3478,7809
TMEM160,96,94,1.75,11.05
ZC3H4,2066,88,421.5,856.5
GMFG,6074.5,5879,2964.5,3950
LRRC47,79.13,0.088,20.0485,189.5
SESN2,20.05,12,0.4845,107.125
ATP5IF1,1818,1881,1017,1400.5
THEMIS2,56.645,17,427.07,86.725
CLIP1,503.5,1030,931.5,1100
HIP1R,45.615,0.07,0.016,0.08
EIF3G,432.5,909,93.85,694
SHFL,70.65,9.2,85.595,247.1
DNMT1,502.5,819,763.5,334.5
ZNF426,0.715,1,0.865,7.15
DKC1,993,73,4.46,1044.5
PLXNA3,2.955,98,134.5,35.55
MPP1,449.014,217,0.095,0.34
ZNF331,1495,5786,572,1089.5
ZNF236,351,324,297.5,697.6
C12orf65,737.5,721,467,929.5
NOL11,526.5,48,512.585,114.5
